product_name,price,retailer,platform,storeUrl,imageUrl
"Card màn hình MSI RTX 2080 Ti GAMING X TRIO (11GB GDDR6, 352-bit, HDMI+DP+Type-C, 1x8-pin+ 1x6-pin)",34.999.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/vga-card-msi-rtx-2080-ti-gaming-x-trio/p43887.html#tab1,https://hanoicomputercdn.com/media/product/43887_msi_gtx_1660_ti_ventus_xs___6g_oc_01.jpg
"Card màn hình GIGABYTE GTX 1650 OC-4G (4GB GDDR5, 128-bit, HDMI+DP)",4.299.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/card-man-hinh-gigabyte-gtx-1650-oc-4gd/p46331.html#tab1,https://hanoicomputercdn.com/media/product/46331_gigabyte_gtx_1650_oc___4gd_01.jpg
"Card màn hình MSI GTX 1660 Super GAMING X (6GB GDDR6, 192-bit, HDMI+DP)",7.499.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/card-man-hinh-msi-gtx-1660-super-gaming-6g-x/p49690.html#tab1,https://hanoicomputercdn.com/media/product/49690_msi_gtx_1660_super_gaming_6g_x__01.jpg
"Card màn hình ASUS ROG STRIX RTX 2080 Ti-011G GAMING (11GB GDDR6, 352-bit, HDMI+DP, 2x8-pin)",36.999.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/vga-card-asus-rog-strix-rtx-2080ti-011g-gaming/p43985.html#tab1,https://hanoicomputercdn.com/media/product/43985_asus_rog_strix_rtx_2080ti_01.jpg
"Card màn hình ASUS ROG STRIX GTX 1650-O4G GAMING (4GB GDDR5, 128-bit, HDMI+DP)",4.399.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/card-man-hinh-asus-rog-strix-gtx1650-o4g-gaming/p46333.html#tab1,https://hanoicomputercdn.com/media/product/46333_asus_rog_strix_gtx1650_01.jpg
VGA Card LEADTEK nVidia Quadro P2200 5GB GDDR5x,11.490.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/vga-card-nvidia-quadro-p2200-5gb-gddr5x/p47954.html#tab1,https://hanoicomputercdn.com/media/product/47954_p2200.jpg
"Card màn hình GIGABYTE GTX 1660 OC-6G (6GB GDDR6, 192-bit, HDMI+DP, 1x8-pin) ",5.899.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/card-man-hinh-gigabyte-gtx-1660-oc-6gd/p45827.html#tab1,https://hanoicomputercdn.com/media/product/45827_gigabyte_gtx_1660_oc___6gd_01.jpg
"Card màn hình ASUS TUF GTX 1650 Super-O4G GAMING (4GB GDDR5, 128-bit, DVI+HDMI+DP, 1x6-pin)",5.299.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/card-man-hinh-asus-tuf-gtx-1650-super-o4g-gaming/p50108.html#tab1,https://hanoicomputercdn.com/media/product/50108_asus_tuf_gtx_1650_super_o4g_01.jpg
"Card màn hình ASUS TUF GTX 1660 Super-6G GAMING (6GB GDDR6, 192-bit, DVI+HDMI+DP, 1x8-pin)",5.999.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/card-man-hinh-asus-tuf-gtx-1660-super-6g-gaming/p49618.html#tab1,https://hanoicomputercdn.com/media/product/49618_asus_tuf_gtx1660__01.jpg
"Card màn hình ASUS DUAL GTX 1650-O4G (4GB GDDR5, 128-bit, DVI+HDMI+DP)",4.399.000 ?,Hanoi Computer,none,https://www.hanoicomputer.vn/card-man-hinh-asus-dual-gtx1650-o4g/p46336.html#tab1,https://hanoicomputercdn.com/media/product/46336_asus_dual_gtx1650_01.jpg
