product_name,price,retailer,platform,storeUrl,imageUrl
VGA card NVIDIA Quadro P2000 ha?ng chi?nh...,9.790.000?,Tiki,Tiki,https://tiki.vn/vga-card-nvidia-quadro-p2000-ha-ng-chi-nh-ha-ng-p25281833.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/8f/9f/70/a567f16523069ee7dd75ee0e85e52f75.png
VGA Gigabyte GeForce GTX 1660 SUPER OC 6G -...,6.149.000?,Tiki,Tiki,https://tiki.vn/vga-gigabyte-geforce-gtx-1660-super-oc-6g-hang-chinh-hang-p50083717.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/73/23/5a/d4df6af3734dc65f36ed9eb72a84b1d8.png
Card Màn Hình GIGABYTE GeForce RTX 2080...,21.500.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-gigabyte-geforce-rtx-2080-super-gaming-oc-8g-hang-chinh-hang-p24762857.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/07/5f/23/43be6ee00ff5c3bbd3d97b079ae6a0d6.png
Card Màn Hình Nvidia Quadro P620 2GB GDDR5...,4.250.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-nvidia-quadro-p620-2gb-gddr5-hang-chinh-hang-p15320689.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/fa/4d/8b/4f2874663b1e2e0a049c9844e4af59e5.jpg
Card Màn Hình GIGABYTE GeForce RTX 2080...,23.500.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-gigabyte-geforce-rtx-2080-super-aorus-8g-hang-chinh-hang-p24756040.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/ab/e5/08/19ea866b237bbe41080974332f7b9822.png
CARD màn hình ZOTAC GAMING GeForce GTX 1660...,7.200.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-zotac-gaming-geforce-gtx-1660-ti-6gb-gddr6-hang-chinh-hang-p25928271.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/75/df/80/d5408364c87bc2ae4cebdf5cd83efa16.jpg
Card màn hình Colorful GeForce RTX 2060...,11.399.000? ,Tiki,Tiki,https://tiki.vn/card-man-hinh-colorful-geforce-rtx-2060-super-8g-limited-v-hang-chinh-hang-p41214054.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/22/00/b1/17bfc9e38841cb9c901503fe67a8715b.jpg
C?c màn hình ZOTAC GAMING GeForce GTX 1650...,4.550.000?,Tiki,Tiki,https://tiki.vn/cac-man-hinh-zotac-gaming-geforce-gtx-1650-super-twin-fan-hang-chinh-hang-p50942606.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/5c/c1/98/1f81e79b4371faeb40a6a94ed1d9a94a.jpg
Card màn hình MSI GeForce GTX 1650 4GB GDDR5...,4.280.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-msi-geforce-gtx-1650-4gb-gddr5-gaming-x-hang-chinh-hang-p34149205.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/a9/7f/89/8aecce64d6e96daf6220cfa39ac9d51e.png
Card màn hình ZOTAC GAMING GeForce GTX 1660...,5.100.000?,Tiki,Tiki,https://tiki.vn/card-man-hinh-zotac-gaming-geforce-gtx-1660-6gb-gddr5-hang-chinh-hang-p28074920.html?src=search&2hi=0&keyword=nvidia+geforce,https://salt.tikicdn.com/cache/200x200/ts/product/a3/18/25/fdd3db786d1e647f1059a0874c9dd0bb.jpg
